metabolite	tentative_id	id_method	class
25.641_119.0875 	1-ethyl-4-(2-methylpropyl)-benzene	NIST-library hit	aromatic hydrocarbon
25.706_91.0568 	patchoulene	NIST-library hit	sesquiterpene
25.779_97.0322 	isoascaridol	NIST-library hit	monoterpene
25.842_161.1316 	b-copaene	NIST-library hit	sesquiterpene
25.911_105.0725 	aristolene	NIST-library hit	sesquiterpene
25.968_119.0881 	b-cadiene	Adams 2017	sesquiterpene
26.045_91.0563 	tumerol	NIST-library hit	sesquiterpene
26.164_119.0865 	germacrene-D	in-house library	sesquiterpene
26.200_105.0726 	a-cadinene	Adams 2017	sesquiterpene
26.227_95.0152 	camphor	NIST-library hit	monoterpene
26.529_131.0872 	3,7-(11)-selinadiene	NIST-library hit	sesquiterpene
26.595_91.0568 	germacrene-B	in-house library	sesquiterpene
26.689_109.1032 	ent-germacra-4(15),5,10(14)-trien-1_-ol 	NIST-library hit	sesquiterpene
26.803_111.0836 	caryophyllene alcohol	NIST-library hit	sesquiterpene
26.833_81.0727 	cis-b-farnesene	NIST-library hit	sesquiterpene
27.083_97.0317 	massoilactone	NIST-library hit	aromatic hydrocarbon
27.996_91.0565 	9-hydroxy-7-epizingiberene	in-house library	sesquiterpene
28.382_97.0323 	1-(2-Furyl)-1,2-butanediol	NIST-library hit	aromatic hydrocarbon
30.160_91.0569 	santalanoic acid	NIST-library hit	sesquiterpene
32.503_159.8606 	octathiocane	NIST-library hit	inorganic
